3 15 5 , 9 11 13 , 2 4 6 16 22 , 8 10 12 14 26 , 1 3 5 17 , 9 11 13 7 , 2 4 6 15 22 , 8 10 12 , 21 5 , 9 25 11 , 2 4 6 18 16 , 30 10 12 28 14 , 17 5 , 15 11 13 9 , 2 4 6 8 , 14 10 12 24 , 1 3 5 7 17 , 9 11 13 , 2 4 6 20 18 , 1 10 12 14 , 23 4 6 , 30 11 13 15 , 8 4 6 2 16 , 12 14 , 5 3 , 8 11 13 , 2 4 6 16 , 30 9 12 14 24 , 1 3 5 17 , 13 11 , 2 30 6 24 , 16 9 14 , 23 3 5 , 29 15 13 , 2 4 6 , 8 10 12 26 14 , 22 3 5 1 , 9 11 13 , 3 5 , 16 10 12 8 14 , 1 3 5 21 19 , 9 11 13 7 , 2 5 24 , 12 10 , 1 3 5 , 9 11 13 27 7 , 2 4 20 22 14 , 8 10 12 6 28 , 1 3 , 9 11 , 
19 21 23 17 , 25 27 29 , 18 20 23 , 25 28 30 , 19 21 23 , 25 27 29 , 18 20 22 16 , 26 28 30 18 24 , 14 23 19 16 , 29 27 , 22 20 , 26 28 8 1 24 , 19 21 , 25 27 29 23 , 18 20 22 , 26 28 30 , 19 21 , 23 27 25 30 29 , 18 20 22 24 16 , 26 28 30 8 16 , 19 21 , 25 27 29 , 18 20 22 24 , 26 28 30 , 19 21 24 17 , 25 27 23 30 29 , 18 20 22 , 26 28 , 19 21 , 25 27 29 15 8 , 18 20 22 4 , 26 28 , 19 21 , 25 27 , 18 20 22 24 1 , 26 16 30 28 24 , 18 20 28 , 7 26 30 24 16 , 18 20 22 28 1 , 26 28 30 24 7 , 19 21 23 17 , 25 27 29 15 , 18 20 22 , 26 28 30 , 19 21 23 17 15 , 25 27 29 30 , 18 20 22 16 24 , 17 28 30 26 , 19 21 23 15 , 25 27 29 17 , 
10 12 14 2 8 , 4 6 16 1 , 11 13 15 9 7 , 3 5 16 7 1 , 2 12 14 8 10 , 4 6 , 11 13 15 9 2 , 3 5 7 30 1 , 10 12 8 21 , 4 6 2 , 11 13 15 , 3 5 , 10 12 14 , 4 6 16 , 11 13 15 1 9 , 3 5 7 , 10 12 15 1 , 4 6 8 2 , 11 13 , 3 5 , 10 12 14 1 23 , 3 7 9 5 , 11 13 15 1 , 3 5 7 9 , 10 12 14 1 15 , 4 6 8 2 10 , 11 13 15 , 3 5 7 30 1 , 10 12 14 23 , 2 6 , 11 13 , 7 1 , 10 12 14 , 4 6 8 30 16 , 11 13 , 3 5 7 9 , 10 12 14 1 22 , 4 6 8 , 11 13 15 9 2 , 3 5 , 10 12 14 1 , 2 6 8 4 , 11 13 , 4 6 , 10 12 8 1 , 5 7 13 3 , 9 14 12 11 1 , 1 5 7 3 , 10 12 , 4 6 8 2 13 , 
24 26 28 , 30 18 20 22 , 23 25 27 29 , 17 19 21 23 30 , 24 26 28 , 16 18 20 30 22 , 23 25 27 , 17 19 , 24 26 28 , 17 19 , 23 25 27 29 , 17 19 21 30 8 , 1 25 27 , 29 18 20 , 23 25 27 , 17 19 21 30 , 28 26 , 22 18 20 , 23 25 27 29 15 , 17 19 21 , 24 26 28 30 15 , 17 18 20 22 30 , 23 25 27 29 1 , 17 19 21 30 28 , 24 26 28 22 , 17 18 20 30 8 , 23 25 27 21 28 , 17 19 , 24 26 28 , 16 18 20 30 , 25 27 , 17 19 30 , 24 26 28 22 , 20 18 , 23 27 , 19 29 , 25 27 , 17 19 21 , 23 25 27 29 , 17 19 21 30 , 24 26 28 , 16 18 20 22 , 1 25 27 30 29 , 17 19 21 23 , 24 26 28 15 30 , 16 18 20 22 , 23 25 27 29 30 , 16 20 22 14 18 , 24 26 28 30 18 , 20 22 , 
7 3 5 , 9 11 , 1 3 6 13 15 , 8 10 12 14 5 , 1 3 , 9 11 13 15 6 , 1 5 7 3 , 8 10 12 30 14 , 1 3 5 22 , 9 11 13 7 15 , 2 4 6 , 8 10 12 15 , 23 3 5 13 , 9 11 15 7 , 3 5 , 8 10 12 14 16 , 1 3 5 , 9 11 13 7 30 , 1 4 6 2 , 8 10 12 , 1 3 , 9 11 13 7 5 , 2 15 4 , 8 10 12 14 6 , 1 3 5 , 6 11 13 15 9 , 2 4 6 22 , 30 9 12 14 , 1 3 5 7 22 , 9 11 13 , 2 4 , 12 10 , 1 3 5 7 15 , 9 11 13 30 , 2 4 6 15 , 12 10 , 5 7 , 9 11 13 15 30 , 2 4 6 , 8 10 12 14 , 1 3 5 , 9 11 13 7 15 , 2 4 6 8 , 14 10 12 , 1 3 5 7 , 9 11 13 , 2 4 6 , 8 10 12 14 , 1 3 5 , 9 11 13 7 , 
19 21 , 25 27 29 17 , 18 20 22 24 , 26 28 , 19 21 24 17 30 , 25 27 29 22 , 18 20 , 26 28 , 19 21 24 17 30 , 25 27 29 16 , 18 20 23 , 26 28 30 , 19 21 24 17 1 , 26 28 , 18 20 22 1 24 , 26 28 30 17 7 , 19 21 23 , 25 27 29 16 18 , 15 20 22 , 26 28 30 24 17 , 19 21 23 15 , 25 27 , 18 20 22 29 , 26 28 30 24 17 , 19 21 23 , 25 27 29 17 8 , 18 20 , 26 24 28 , 19 21 17 , 25 27 29 , 15 20 , 26 28 30 23 17 , 16 21 19 , 25 27 , 17 21 , 26 28 24 , 20 22 , 28 26 , 22 20 , 26 28 30 24 , 19 21 23 17 , 25 27 29 , 18 20 22 , 28 26 , 19 21 17 , 15 27 , 18 20 22 29 24 , 26 28 16 7 , 19 21 23 17 25 , 25 27 29 15 23 , 
10 12 14 30 , 4 6 8 16 2 , 11 13 30 9 23 , 3 5 7 1 15 , 10 12 , 4 6 2 , 11 13 9 , 5 3 , 10 12 , 4 6 8 2 14 , 10 12 , 4 6 , 10 12 14 8 , 4 6 3 30 , 11 13 15 9 , 3 5 , 10 12 14 , 4 6 8 2 , 11 13 9 23 , 3 5 7 1 13 , 8 12 10 , 4 6 2 , 11 13 1 9 , 3 5 7 15 9 , 10 12 14 21 1 , 4 6 , 11 13 15 1 , 3 5 7 , 10 12 14 8 , 4 6 , 11 13 9 , 3 6 , 10 12 14 1 8 , 4 6 9 2 30 , 11 13 , 3 5 8 , 10 12 14 1 30 , 4 6 8 17 2 , 11 13 1 9 15 , 3 5 7 , 9 13 15 1 11 , 4 6 9 2 30 , 11 13 16 , 8 5 , 10 12 14 30 3 , 4 6 8 , 11 13 1 9 30 , 3 5 , 10 12 14 1 30 , 4 6 8 2 , 
24 26 28 , 22 18 20 , 27 25 , 17 19 , 24 26 28 22 30 , 20 18 , 23 25 27 29 15 , 17 19 21 , 24 26 28 , 16 18 20 22 , 27 25 , 18 20 29 , 24 26 1 22 , 16 18 20 28 , 25 27 , 17 19 7 21 , 24 26 28 30 , 16 18 20 , 29 25 27 30 , 17 19 21 15 , 24 26 28 22 30 , 16 18 20 , 23 25 27 29 21 , 17 19 , 24 26 , 29 18 , 27 25 , 17 19 21 30 23 , 24 26 28 16 1 , 16 18 20 22 30 , 15 25 27 , 17 19 21 23 30 , 24 26 28 , 16 18 20 22 , 23 25 27 15 29 , 17 19 21 , 24 26 28 15 30 , 22 18 20 , 23 25 27 29 , 30 19 21 , 24 26 28 18 16 , 22 18 20 29 7 , 27 25 , 23 19 21 , 24 26 28 17 1 , 16 18 20 22 , 23 25 27 , 17 19 21 , 24 26 28 , 20 18 , 
1 3 5 7 30 , 9 11 13 15 , 2 4 , 7 10 12 , 1 3 5 , 9 11 , 2 4 6 8 , 12 10 , 1 3 5 7 14 , 9 11 13 30 7 , 1 5 13 15 3 , 7 9 13 11 , 5 3 , 10 12 14 30 8 , 2 4 23 , 15 10 , 5 3 , 9 11 13 15 , 2 4 6 8 23 , 14 10 12 , 1 3 5 7 , 9 11 13 15 , 1 2 6 4 8 , 14 10 12 , 7 5 , 11 9 , 4 15 6 1 13 , 8 10 12 30 3 , 14 3 5 7 , 9 11 13 , 2 4 , 8 10 12 , 1 3 5 , 9 11 13 7 , 2 4 6 14 , 8 10 1 12 13 , 1 3 5 7 , 9 11 13 , 14 4 6 16 2 , 8 10 12 , 1 3 5 14 , 9 11 13 30 , 16 4 6 2 , 8 10 12 14 30 , 1 3 5 7 , 9 11 13 15 30 , 2 4 6 , 14 10 12 , 7 3 5 , 13 11 , 
19 21 23 17 , 25 27 , 18 20 23 , 30 26 28 , 19 21 17 14 , 25 27 29 23 , 18 20 22 14 16 , 26 28 30 24 , 19 21 23 15 17 , 25 27 29 17 , 19 27 23 15 21 , 26 28 30 24 17 , 19 21 , 25 27 , 18 20 , 26 29 , 1 21 19 17 23 , 25 27 29 , 18 20 , 26 28 , 19 21 23 17 , 25 27 29 16 , 18 20 22 24 30 , 26 28 , 16 21 23 , 25 27 18 , 22 20 , 26 28 30 24 17 , 19 21 23 1 , 25 27 29 , 18 20 , 26 28 30 15 24 , 19 21 14 17 , 25 27 29 16 23 , 18 20 22 , 26 28 30 24 , 19 21 23 17 15 , 25 27 29 , 18 20 22 , 26 28 30 24 , 19 21 23 17 15 , 25 27 29 , 18 20 22 , 26 28 17 24 , 19 21 , 25 27 23 , 18 20 , 26 29 22 24 , 17 19 , 25 27 30 23 15 , 
10 12 14 , 4 6 8 , 11 13 , 3 5 7 1 10 , 8 12 , 4 6 2 , 11 13 1 9 7 , 3 5 , 10 12 8 6 , 4 6 8 2 , 10 12 , 3 5 7 1 , 10 12 14 8 22 , 4 6 29 1 , 11 13 15 9 23 , 3 5 7 , 14 12 , 4 6 8 , 12 14 3 1 10 , 5 9 7 16 30 , 10 12 14 1 3 , 4 6 8 , 11 13 9 2 , 3 5 7 1 15 , 10 12 8 30 , 4 6 2 , 11 13 9 , 3 5 7 , 10 12 14 , 4 6 2 , 11 13 , 3 5 7 1 9 , 10 12 8 22 6 , 4 2 , 9 13 , 3 5 7 , 10 12 14 1 8 , 4 6 , 11 13 9 , 1 3 7 , 10 12 14 , 4 6 8 2 , 11 13 15 9 , 3 5 7 1 , 10 12 , 4 6 16 2 8 , 11 13 15 9 , 3 5 7 1 , 10 12 , 4 6 8 2 , 
24 26 28 30 , 16 18 20 22 , 23 25 15 29 27 , 17 19 21 30 15 , 24 26 28 , 16 18 20 , 23 25 27 29 14 , 17 19 21 30 15 , 24 26 28 1 22 , 16 18 20 30 14 , 22 25 , 17 19 30 , 24 26 21 , 16 18 20 27 30 , 22 25 , 17 19 , 24 26 28 1 30 , 16 18 20 30 22 , 23 25 27 28 , 17 19 21 30 , 24 26 28 22 , 16 18 20 30 22 , 23 25 27 28 30 , 17 19 21 , 24 26 28 , 16 18 20 , 22 25 27 29 , 17 19 , 24 26 28 30 21 , 16 18 20 8 23 , 22 25 27 15 29 , 17 19 , 24 26 28 30 14 , 16 18 20 , 23 25 27 29 , 17 19 , 24 26 28 30 22 , 16 18 20 , 29 25 27 , 22 17 19 , 28 26 24 , 16 18 , 23 25 27 29 20 , 17 19 22 30 , 24 26 28 14 21 , 30 18 20 22 , 23 25 27 29 , 17 19 21 30 28 , 14 26 , 16 18 20 , 
14 7 , 9 11 , 1 5 7 13 3 , 8 10 12 22 , 1 3 5 7 , 9 11 , 2 4 , 7 10 12 , 5 3 , 9 11 13 7 , 2 4 6 , 9 11 13 15 28 , 5 7 , 9 11 14 , 8 4 6 2 13 , 15 10 , 5 3 , 9 11 13 7 15 , 2 4 6 , 8 10 12 15 , 1 3 5 14 , 9 11 13 16 7 , 2 1 6 14 4 , 8 10 12 15 , 1 3 5 23 14 , 9 11 13 7 30 , 1 4 6 14 2 , 8 10 12 , 1 3 5 14 7 , 9 11 13 6 30 , 2 4 , 12 10 , 1 3 5 , 8 11 , 2 4 , 8 10 12 15 6 , 1 3 , 9 11 13 7 5 , 3 7 , 10 12 , 2 5 , 9 11 14 , 2 4 6 , 8 10 12 15 , 1 3 5 7 , 8 10 12 14 16 , 2 4 6 , 12 10 , 1 7 5 3 , 9 11 23 29 , 
19 21 2 17 , 29 27 , 16 20 , 26 28 30 , 19 21 24 17 14 , 25 27 29 16 30 , 18 20 22 , 26 28 30 24 , 19 21 , 25 27 29 23 16 , 18 20 22 1 , 26 24 30 , 19 21 23 17 1 , 25 27 29 16 , 18 20 22 , 26 28 30 24 , 19 21 , 25 27 29 , 18 20 22 1 24 , 26 28 30 17 , 19 21 , 25 27 29 , 18 20 22 , 26 28 30 , 19 21 24 17 , 25 27 29 , 18 20 22 24 16 , 26 28 30 17 24 , 19 21 23 15 , 25 27 , 18 20 22 16 , 26 28 30 24 7 , 19 21 23 17 14 , 25 27 , 18 20 22 13 , 26 28 30 24 17 , 19 21 23 17 , 25 27 29 16 21 , 18 20 15 1 23 , 26 28 30 , 19 21 , 16 27 , 18 20 22 30 24 , 26 28 17 , 19 21 , 25 27 29 23 , 18 20 , 24 28 , 17 19 , 25 27 , 
8 12 10 , 4 6 , 11 13 9 , 3 5 7 , 10 12 14 1 23 , 4 6 8 2 , 11 13 9 , 3 5 15 1 , 10 12 14 8 , 4 6 , 13 8 11 , 3 5 , 10 12 14 7 , 5 7 9 3 30 , 11 13 , 4 6 , 10 12 14 8 1 , 3 5 , 11 13 15 9 7 , 3 5 , 10 12 8 14 23 , 16 6 4 , 11 13 , 3 5 8 , 10 12 15 1 , 2 6 8 4 , 11 13 15 1 9 , 3 5 7 , 10 12 8 1 , 4 6 , 11 13 15 9 2 , 3 5 1 , 10 12 , 4 6 8 30 2 , 11 13 15 9 1 , 3 5 7 9 15 , 10 12 14 1 , 2 6 8 30 4 , 11 13 9 7 , 3 5 , 10 12 14 8 1 , 4 6 , 11 13 1 9 3 , 15 5 7 , 11 13 , 4 6 9 2 , 11 13 , 3 5 7 9 1 , 22 12 14 , 4 6 2 , 
24 26 28 30 14 , 20 18 , 23 25 27 29 15 , 17 19 21 , 24 26 28 30 , 16 18 , 23 25 28 30 20 , 17 19 21 26 , 24 22 28 30 , 16 18 20 , 23 25 27 29 1 , 17 19 21 30 16 , 24 26 28 1 , 16 18 20 29 22 , 23 25 27 15 1 , 17 19 21 , 24 26 28 , 16 18 20 30 22 , 29 25 27 1 , 17 19 21 , 28 26 , 20 18 , 23 25 27 30 , 17 19 21 , 24 26 , 22 18 20 29 , 23 25 27 30 , 17 19 21 28 23 , 24 26 28 14 30 , 16 18 20 22 , 23 25 27 30 7 , 17 19 21 28 , 24 26 14 , 16 18 20 22 29 , 23 25 27 , 17 19 21 30 28 , 24 26 28 22 , 16 18 , 23 25 27 20 , 17 19 21 29 15 , 24 26 28 22 30 , 16 18 20 , 23 25 27 29 21 , 17 19 30 15 , 24 26 28 , 22 18 20 30 , 23 25 27 16 , 17 19 21 28 30 , 24 26 , 16 18 20 , 
7 5 , 1 11 , 8 4 6 13 2 , 12 10 , 1 3 5 14 7 , 9 11 , 1 4 6 14 22 , 8 10 12 16 3 , 1 3 5 7 14 , 9 11 , 2 4 6 13 22 , 6 10 12 15 8 , 14 3 5 , 9 11 13 7 30 , 2 4 14 6 24 , 8 10 12 30 6 , 2 4 , 9 11 13 , 4 6 , 23 10 12 14 , 1 3 5 30 7 , 9 11 13 15 , 2 4 6 8 , 14 10 12 , 1 3 5 7 , 9 11 13 16 , 2 4 6 14 8 , 7 10 12 16 1 , 14 3 5 , 9 11 , 2 1 6 4 13 , 8 10 12 15 , 1 3 5 7 , 9 11 , 6 4 , 8 10 12 14 30 , 1 3 5 7 15 , 9 11 13 , 2 4 6 , 8 10 12 , 1 3 5 23 , 9 11 13 15 7 , 2 4 6 , 8 10 12 , 1 3 5 13 7 , 9 11 , 2 4 6 , 8 10 12 14 , 1 3 5 7 22 , 9 11 13 , 
19 21 23 17 , 25 27 , 18 20 22 16 , 26 28 30 24 17 , 19 21 , 25 27 29 16 , 18 20 , 26 28 30 24 , 19 21 , 29 27 , 18 20 , 26 28 30 24 , 19 21 23 17 1 , 25 27 16 , 18 20 22 , 26 28 , 19 21 23 17 15 , 25 27 29 , 18 20 , 24 26 , 19 21 17 , 23 27 29 16 25 , 18 20 22 , 24 28 26 , 19 21 , 25 27 29 , 18 20 22 , 26 24 , 19 21 , 25 27 29 23 16 , 18 20 , 26 28 30 , 19 21 23 14 17 , 25 27 29 , 22 20 , 26 17 24 28 , 19 21 , 25 27 23 17 29 , 22 20 18 15 , 26 28 , 17 19 30 , 25 27 , 18 20 22 1 29 , 26 28 30 16 24 , 19 21 23 17 14 , 25 27 29 16 , 18 20 22 , 26 28 15 24 , 19 21 1 17 30 , 25 27 29 23 15 , 
10 12 14 30 8 , 4 6 2 , 11 13 15 9 1 , 3 5 7 , 10 12 14 1 8 , 4 6 30 2 , 11 13 9 1 , 3 5 15 7 , 10 12 14 1 8 , 4 16 , 11 13 , 3 5 7 15 9 , 10 12 14 8 , 4 29 6 , 11 13 9 , 3 5 7 , 10 12 14 8 1 , 4 6 30 2 , 11 13 15 22 9 , 28 5 3 , 10 12 14 30 , 2 6 8 4 , 11 13 1 9 , 3 5 , 10 12 14 8 , 4 6 2 , 11 13 , 3 5 30 15 , 10 12 8 1 14 , 4 6 , 11 13 9 , 5 7 , 10 12 , 4 6 8 2 16 , 11 13 15 , 3 5 7 1 30 , 10 12 , 4 6 2 , 11 13 30 9 7 , 1 5 , 10 12 14 , 4 6 8 , 11 13 , 3 5 7 , 10 12 1 , 4 6 8 30 2 , 11 13 9 , 3 5 7 , 10 12 , 4 6 , 
24 26 28 , 16 18 20 22 , 23 25 27 29 , 17 19 21 30 , 24 26 28 14 , 16 18 20 22 , 23 25 27 , 17 19 21 30 , 24 26 28 22 , 20 18 , 23 25 1 , 17 19 21 30 28 , 24 26 , 16 18 20 , 23 25 , 17 19 21 30 15 , 24 26 22 , 16 18 20 28 , 24 26 , 17 19 , 24 26 , 16 18 20 28 22 , 15 25 27 30 23 , 17 21 , 24 26 30 , 16 18 20 , 23 25 28 , 17 19 21 , 24 26 28 22 , 20 17 , 29 27 , 15 19 , 24 21 26 , 29 18 , 27 25 , 17 19 22 , 24 26 28 14 , 16 18 20 , 23 25 , 17 19 21 28 , 24 26 , 29 20 , 23 25 27 , 17 19 21 30 15 , 24 26 28 , 20 18 , 23 25 27 , 17 19 21 , 24 26 28 30 16 , 22 18 20 , 
1 3 5 7 14 , 9 11 13 , 2 4 6 , 12 10 , 7 3 5 , 9 11 , 2 4 6 13 , 8 10 12 16 14 , 1 3 5 7 , 9 11 13 , 4 6 , 8 10 12 14 , 1 3 5 , 9 11 13 29 , 2 4 , 8 10 12 14 28 , 1 3 5 7 , 9 11 30 13 , 2 4 6 , 8 10 12 , 1 3 5 14 7 , 9 11 13 2 7 , 1 4 6 13 , 8 10 12 3 28 , 1 14 5 7 , 9 11 , 2 4 , 7 10 12 14 30 , 1 3 5 , 9 11 13 , 2 4 , 7 10 12 , 1 3 5 , 9 11 13 , 2 4 6 , 8 10 12 30 , 1 3 , 9 11 , 2 4 , 7 10 , 5 3 , 8 10 12 , 2 4 6 , 13 9 , 7 3 5 , 9 11 13 15 , 2 4 6 , 8 10 12 , 15 3 5 1 , 9 11 13 7 1 , 
19 21 , 25 27 29 23 17 , 18 20 22 30 15 , 26 28 1 24 17 , 19 21 14 , 26 28 , 18 20 22 1 24 , 26 28 30 , 19 21 , 23 27 29 , 18 20 22 16 25 , 26 28 30 22 24 , 19 17 , 25 27 7 , 18 20 22 16 , 24 26 , 19 21 17 , 25 27 23 , 15 20 22 18 , 26 28 30 24 17 , 19 21 23 16 18 , 25 29 27 30 23 , 18 20 22 15 16 , 26 28 30 24 , 19 21 23 15 17 , 25 27 29 , 18 20 22 16 24 , 26 28 , 19 21 23 , 25 27 , 18 20 22 16 , 26 28 30 24 , 19 21 23 17 15 , 25 27 30 29 , 18 20 22 16 , 26 28 , 19 21 23 , 25 27 6 16 29 , 13 20 22 18 , 26 28 30 24 17 , 1 21 19 14 , 25 27 29 16 23 , 18 20 22 15 , 26 28 30 24 , 19 21 23 17 , 25 27 29 , 18 20 22 1 24 , 26 28 30 17 , 19 21 , 25 27 29 23 , 
10 12 , 4 6 8 2 , 11 13 15 9 , 3 5 7 , 10 12 , 4 6 16 30 2 , 11 13 15 9 , 3 5 7 , 10 12 14 1 , 2 6 8 30 4 , 11 13 15 9 1 , 3 5 7 30 1 , 10 12 14 , 4 2 , 11 13 9 , 3 5 7 1 , 10 12 14 30 , 4 7 , 11 13 9 , 3 5 7 , 10 12 14 1 , 4 6 8 2 , 11 13 9 , 3 5 , 10 12 , 4 6 8 2 14 , 11 13 1 9 30 , 3 5 7 , 10 12 14 1 , 4 6 8 2 30 , 11 13 1 9 15 , 3 5 , 10 12 14 1 8 , 4 6 2 , 11 13 9 , 7 5 , 10 12 14 , 4 30 8 2 , 11 13 15 9 1 , 3 5 7 , 9 12 , 4 6 , 11 13 , 3 5 7 1 9 , 10 12 14 16 8 , 4 6 2 , 11 13 15 9 , 3 5 , 10 12 14 , 4 2 , 
24 26 28 22 , 16 18 20 , 23 25 27 29 1 , 17 19 21 30 , 24 26 28 14 , 20 18 , 27 25 , 17 19 21 30 , 24 26 28 16 , 22 18 20 6 , 27 25 , 17 19 21 23 , 24 26 28 , 16 18 20 30 22 , 23 25 27 29 , 21 19 , 24 26 28 , 16 18 20 22 , 23 25 27 29 1 , 17 19 21 , 24 26 28 30 , 22 20 , 27 25 , 17 19 21 30 15 , 24 26 , 16 18 20 29 22 , 27 25 , 17 19 21 , 24 26 , 16 18 20 22 28 , 23 25 27 , 17 19 21 30 28 , 24 26 , 30 18 20 28 22 , 23 25 27 , 17 19 21 30 28 , 24 26 , 20 18 , 23 25 27 21 , 17 19 21 30 28 , 24 26 , 16 18 20 29 22 , 15 25 27 30 , 18 20 , 24 26 28 30 22 , 20 18 , 27 25 , 17 19 22 30 7 , 24 26 28 16 , 22 18 20 30 7 , 
1 3 5 7 30 , 9 11 14 , 2 4 6 13 , 8 10 12 15 , 1 3 5 7 , 9 11 , 1 3 6 23 , 8 10 12 14 5 , 1 3 , 11 13 , 2 4 , 8 10 12 14 6 , 1 3 5 , 9 11 13 15 7 , 1 5 24 3 , 8 10 12 14 16 , 6 2 , 8 11 13 , 2 4 , 8 10 12 15 6 , 1 3 5 14 , 16 11 9 7 , 2 4 , 13 10 , 1 3 5 7 , 9 11 14 , 2 4 6 , 8 10 12 15 , 1 3 5 7 14 , 9 11 30 , 2 4 6 8 14 , 16 10 12 , 1 3 5 7 14 , 9 11 13 16 , 2 1 6 4 8 , 16 10 12 14 30 , 1 3 5 7 , 9 11 14 16 29 , 1 5 7 23 3 , 8 10 12 16 14 , 1 3 5 7 14 , 9 11 13 , 2 4 6 , 8 10 12 , 16 3 , 8 11 14 6 , 1 3 , 5 10 12 14 , 1 3 , 15 11 13 5 9 , 
